date,datatype,station,attributes,value
2014-06-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.1
2014-07-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-02T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-03T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-04T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.02
2014-07-05T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-06T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0900",0.45
2014-07-09T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-10T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-11T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.01
2014-07-13T00:00:00,PRCP,GHCND:US1COAR0246,",,N,1100",0.49
2014-07-15T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.4
2014-07-16T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.09
2014-07-17T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.39
2014-07-18T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-07-19T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0700",0.0
2014-07-28T00:00:00,PRCP,GHCND:US1COAR0246,"T,,N,0800",0.0
2014-07-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.68
2014-07-30T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.92
2014-07-31T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.72
2014-08-01T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.0
2014-08-07T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.06
2014-08-08T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.53
2014-08-26T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.3
2014-08-28T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.18
2014-08-29T00:00:00,PRCP,GHCND:US1COAR0246,",,N,0800",0.02
